delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
-0.115899 13.883051  3.875000 -6764.455566 1788.225708 -4790.031250 2288.319824 -0.433867 -0.014033 -0.012276      -nan 
-0.114008 13.877655  3.900000 -6554.447754 1640.293457 -4836.233887 2176.023926 -0.439112 -0.011620 -0.012611      -nan 
-0.111137 13.873707  3.925000 -6300.410645 1496.678467 -4867.260254 2062.960449 -0.442005 -0.008788 -0.012660      -nan 
-0.107272 13.871385  3.950000 -6011.394531 1358.372803 -4900.139648 1949.467651 -0.442257 -0.005683 -0.012449      -nan 
-0.102525 13.870808  3.975000 -5693.598633 1226.193726 -4932.903809 1835.480591 -0.439438 -0.002183 -0.012008      -nan 
-0.096998 13.871971  4.000000 -5364.763184 1100.838135 -4958.379395 1721.004028 -0.433432  0.001624 -0.011398      -nan 
-0.090873 13.874816  4.025000 -4998.013672 982.602722 -4970.285645 1606.174194 -0.424086  0.005457 -0.010661      -nan 
-0.084389 13.879176  4.050000 -4621.333984 872.339172 -4964.026367 1491.315063 -0.411339  0.009529 -0.009838      -nan 
-0.077810 13.884789  4.075000 -4224.445312 770.308716 -4935.854492 1376.837036 -0.395298  0.013480 -0.008980      -nan 
-0.071245 13.891312  4.100000 -3844.400391 676.936584 -4881.310059 1263.269043 -0.376195  0.017377 -0.008136      -nan 
-0.064927 13.898338  4.125000 -3474.405273 591.887268 -4781.483887 1151.193970 -0.354582  0.020761 -0.007359      -nan 
-0.058882 13.905497  4.150000 -3131.227051 514.943787 -4647.282715 1041.633423 -0.331064  0.023466 -0.006673      -nan 
-0.053156 13.912415  4.175000 -2823.401367 445.548279 -4482.546387 935.339417 -0.306288  0.025448 -0.006122      -nan 
-0.047885 13.918776  4.200000 -2532.781250 382.966644 -4288.476562 832.947815 -0.280811  0.026662 -0.005726      -nan 
-0.043003 13.924331  4.225000 -2269.794434 326.818481 -4046.323242 735.111816 -0.255289  0.027320 -0.005478      -nan 
-0.038511 13.928947  4.250000 -2032.561646 276.511719 -3789.410645 642.885620 -0.230322  0.027069 -0.005366      -nan 
-0.034406 13.932636  4.275000 -1815.935791 231.497925 -3515.358154 556.567749 -0.206270  0.026353 -0.005383      -nan 
-0.030672 13.935492  4.300000 -1610.492310 191.319977 -3216.061035 476.522980 -0.183571  0.025197 -0.005493      -nan 
-0.027286 13.937644  4.325000 -1415.573120 155.696335 -2920.317383 403.333618 -0.162420  0.023600 -0.005661      -nan 
-0.024218 13.939248  4.350000 -1233.787109 124.393394 -2624.306641 336.910034 -0.142928  0.021935 -0.005861      -nan 
-0.021439 13.940454  4.375000 -1063.329102 97.106110 -2328.967773 277.256073 -0.125223  0.020125 -0.006061      -nan 
-0.018923 13.941393  4.400000 -902.808899 73.566948 -2049.416504 224.364166 -0.109294  0.018201 -0.006239      -nan 
-0.016648 13.942175  4.425000 -751.773987 53.555519 -1785.001709 177.867767 -0.095070  0.016372 -0.006372      -nan 
-0.014594 13.942884  4.450000 -610.389404 36.861614 -1535.244385 137.419571 -0.082448  0.014633 -0.006446      -nan 
-0.012739 13.943585  4.475000 -477.096039 23.271656 -1305.514404 102.680954 -0.071326  0.012977 -0.006446      -nan 
-0.011068 13.944313  4.500000 -354.983765 12.610174 -1096.069092 73.194084 -0.061545  0.011489 -0.006367      -nan 
-0.009564 13.945090  4.525000 -244.844650  4.634167 -907.895264 48.491966 -0.052977  0.010139 -0.006209      -nan 
-0.008214 13.945921  4.550000 -147.195160 -0.916865 -741.270508 28.086323 -0.045484  0.008931 -0.005975      -nan 
-0.007004 13.946798  4.575000 -62.317673 -4.315877 -593.616028 11.483158 -0.038946  0.007862 -0.005674      -nan 
-0.005923 13.947709  4.600000  9.684296 -5.840930 -466.531586 -1.755194 -0.033255  0.006897 -0.005314      -nan 
-0.004962 13.948634  4.625000 68.864075 -5.773781 -359.126282 -12.099770 -0.028296  0.006055 -0.004908      -nan 
-0.004111 13.949554  4.650000 115.539185 -4.395590 -269.932373 -20.001455 -0.023968  0.005326 -0.004470      -nan 
-0.003364 13.950446  4.675000 150.324631 -1.980889 -197.332886 -25.877985 -0.020182  0.004693 -0.004014      -nan 
-0.002710 13.951293  4.700000 174.045975  1.209319 -139.501083 -30.109932 -0.016865  0.004144 -0.003556      -nan 
-0.002144 13.952076  4.725000 187.898041  4.931892 -94.416725 -33.036224 -0.013955  0.003663 -0.003106      -nan 
-0.001657 13.952783  4.750000 193.267883  8.969610 -60.046211 -34.949501 -0.011402  0.003238 -0.002677      -nan 
-0.001242 13.953401  4.775000 191.695267 13.135614 -34.430687 -36.095596 -0.009166  0.002858 -0.002277      -nan 
-0.000894 13.953923  4.800000 184.765457 17.276630 -15.733414 -36.675255 -0.007215  0.002514 -0.001912      -nan 
-0.000603 13.954347  4.825000 174.012589 21.274080 -2.259003 -36.846817 -0.005522  0.002200 -0.001585      -nan 
-0.000364 13.954668  4.850000 160.903839 25.043058  7.355240 -36.729561 -0.004065  0.001912 -0.001299      -nan 
-0.000170 13.954889  4.875000 146.615509 28.530945 14.208199 -36.411186 -0.002821  0.001648 -0.001052      -nan 
-0.000015 13.955011  4.900000 132.053818 31.711046 19.182381 -35.954002 -0.001772  0.001406 -0.000842      -nan 
 0.000106 13.955040  4.925000 117.891144 34.576729 22.819160 -35.399933 -0.000899  0.001184 -0.000666      -nan 
 0.000199 13.954979  4.950000 104.561264 37.136169 25.520943 -34.778328 -0.000184  0.000985 -0.000520      -nan 
 0.000269 13.954832  4.975000 92.327606 39.407166 27.468330 -34.109215  0.000391  0.000806 -0.000400      -nan 
