delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
 0.211742 13.769538  0.175895  2.750000 7998.542969 96.481766 5510.342773 -1048.591797  0.571568  0.640517  0.014872 8267.816406  0.175895  0.223360 
 0.217699 13.767883  0.191141  2.775000 7992.970703 274.221130 5620.808594 -918.470398  0.579667  0.654863  0.013899 7236.331543  0.191141  0.209894 
 0.223032 13.766615  0.159571  2.800000 7982.209961 452.123993 5720.518555 -785.856323  0.586491  0.667631  0.012844 6188.838867  0.159571  0.195140 
 0.227612 13.765705  0.144577  2.825000 7968.987305 630.062927 5802.750977 -650.997742  0.592220  0.678913  0.011714 5126.333008  0.144577  0.179323 
 0.231308 13.765150  0.166480  2.850000 7953.726562 807.952576 5881.753418 -514.289429  0.596932  0.688919  0.010524 4049.805664  0.166480  0.162543 
 0.233981 13.764963  0.130766  2.875000 7936.701660 985.732605 5955.737793 -375.821564  0.600678  0.697683  0.009294 2960.293945  0.130766  0.145080 
 0.235489 13.765175  0.120648  2.900000 7919.703613 1163.340942 6024.946777 -235.721817  0.603523  0.705272  0.008041 1858.850830  0.120648  0.127177 
 0.235676 13.765829  0.115405  2.925000 7903.933105 1340.747925 6079.974609 -94.109497  0.605600  0.711768  0.006777 746.505981  0.115405  0.109079 
 0.234381 13.766987  0.080420  2.950000 7889.908203 1517.933716 6132.424316 48.693222  0.607031  0.717393  0.005514 -375.754639  0.080420  0.090876 
 0.231526 13.768729  0.072470  2.975000 7842.459961 1694.905518 6182.150879 192.610733  0.607741  0.722227  0.004263 -1506.983032  0.072470  0.072777 
 0.227151 13.771271  0.057320  3.000000 7651.273926 1870.678955 6230.575684 337.728577  0.606709  0.725983  0.002922 -2646.190430  0.057320  0.054526 
 0.221207 13.774940  0.050442  3.025000 7547.938477 2041.956787 6279.267090 483.856567  0.603647  0.727191  0.001536 -3791.342041  0.050442  0.034673 
 0.213401 13.779726  0.015175  3.050000 7561.957520 2210.706055 6315.903320 631.008179  0.599779  0.726795  0.000237 -4938.854980  0.015175  0.015105 
 0.203349 13.785546  0.023357  3.075000 7675.668945 2379.689453 6347.250000 778.816650  0.596444  0.726218 -0.000868 -6084.344727  0.023357 -0.002458 
 0.190698 13.792335 -0.023437  3.100000 7822.172852 2551.301514 6376.273438 927.038391  0.594500  0.726617 -0.001740 -7224.422852 -0.023437 -0.016891 
 0.175227 13.800200 -0.034754  3.125000 7899.482910 2726.348633 6409.227539 1075.540527  0.593826  0.728408 -0.002432 -8358.027344 -0.034754 -0.028242 
 0.156968 13.809526  0.000024  3.150000 7790.941406 2903.252441 6450.768066 1224.396240  0.593106  0.730841 -0.003080 -9486.665039  0.000024 -0.037838 
 0.136260 13.820824 -0.066298  3.175000 7409.834473 3077.773926 6500.506836 1373.811157  0.590001  0.731842 -0.003874 -10613.462891 -0.066298 -0.048106 
 0.113753 13.834584 -0.070041  3.200000 6611.153809 3243.838379 6553.931641 1524.027466  0.581071  0.728377 -0.005058 -11741.317383 -0.070041 -0.061805 
 0.090643 13.850811 -0.071557  3.225000 5484.065430 3392.055908 6604.402832 1674.931519  0.562598  0.715868 -0.006827 -12870.738281 -0.071557 -0.082772 
 0.068402 13.868946 -0.123735  3.250000 4150.580566 3515.257080 6639.337891 1826.328979  0.532190  0.690736 -0.009192 -13997.873047 -0.123735 -0.112282 
 0.048205 13.887857 -0.130880  3.275000 2871.069824 3608.933838 6634.816895 1977.561768  0.489634  0.650865 -0.011954 -15114.033203 -0.130880 -0.149418 
 0.030092 13.906330 -0.179548  3.300000 1732.433594 3674.683838 6560.374023 2127.320557  0.436856  0.597273 -0.014770 -16206.965820 -0.179548 -0.189814 
 0.014209 13.923380 -0.234208  3.325000 738.133911 3715.756836 6410.797852 2274.049561  0.375976  0.532336 -0.017343 -17263.431641 -0.234208 -0.228859 
 0.000378 13.938366 -0.289761  3.350000 -59.983765 3735.183838 6204.336914 2416.335693  0.309182  0.458553 -0.019391 -18270.978516 -0.289761 -0.262688 
-0.011847 13.950910 -0.274015  3.375000 -685.429260 3737.106201 5928.680664 2553.195068  0.238684  0.378767 -0.020655 -19218.501953 -0.274015 -0.287243 
-0.022795 13.960830 -0.328024  3.400000 -1204.461548 3725.178467 5560.493164 2683.330322  0.166650  0.295729 -0.021016 -20096.222656 -0.328024 -0.299724 
-0.032486 13.968060 -0.279876  3.425000 -1655.239502 3701.676025 5067.205566 2804.829834  0.094938  0.211771 -0.020472 -20895.957031 -0.279876 -0.299301 
-0.040945 13.972736 -0.247422  3.450000 -2061.040283 3668.033691 4409.260742 2915.066162  0.025750  0.129234 -0.019152 -21610.945312 -0.247422 -0.286755 
-0.048447 13.975143 -0.235977  3.475000 -2458.997070 3625.153809 3608.390625 3010.476074 -0.038969  0.050707 -0.017265 -22235.587891 -0.235977 -0.264540 
-0.055372 13.975623 -0.188446  3.500000 -2859.424805 3573.243408 2711.404785 3087.857422 -0.097738 -0.021900 -0.015057 -22764.857422 -0.188446 -0.236006 
-0.061880 13.974492 -0.127449  3.525000 -3294.660889 3512.371582 1776.234619 3144.957031 -0.149815 -0.087382 -0.012769 -23193.908203 -0.127449 -0.204540 
-0.068101 13.971991 -0.125273  3.550000 -3765.480957 3441.915527 848.947449 3180.795166 -0.195354 -0.145627 -0.010620 -23517.976562 -0.125273 -0.173440 
-0.074210 13.968307 -0.115734  3.575000 -4240.143066 3361.122803 -56.091644 3195.507812 -0.234720 -0.197113 -0.008763 -23732.458984 -0.115734 -0.145358 
-0.080097 13.963589 -0.086416  3.600000 -4713.328613 3269.860107 -942.972290 3189.671875 -0.268240 -0.242161 -0.007338 -23833.203125 -0.086416 -0.122184 
-0.085931 13.957985 -0.079128  3.625000 -5141.834961 3168.149902 -1781.179565 3163.711426 -0.296001 -0.280979 -0.006431 -23816.892578 -0.079128 -0.105692 
-0.091582 13.951616 -0.117454  3.650000 -5539.697754 3056.944824 -2494.604004 3118.775391 -0.318698 -0.313702 -0.006061 -23681.349609 -0.117454 -0.096630 
-0.097018 13.944611 -0.096278  3.675000 -5894.933105 2936.936035 -3038.941406 3057.672363 -0.337670 -0.341585 -0.006157 -23426.009766 -0.096278 -0.094661 
-0.102019 13.937114 -0.061251  3.700000 -6196.627441 2809.071289 -3456.426270 2984.225098 -0.354213 -0.366320 -0.006593 -23052.523438 -0.061251 -0.098210 
-0.106508 13.929246 -0.102381  3.725000 -6463.957520 2674.568604 -3777.286133 2901.301025 -0.369207 -0.388947 -0.007272 -22565.353516 -0.102381 -0.105674 
-0.110277 13.921153 -0.098258  3.750000 -6663.668457 2534.166748 -4049.354980 2811.113037 -0.382999 -0.410326 -0.008105 -21971.988281 -0.098258 -0.115831 
-0.113314 13.912979 -0.150803  3.775000 -6820.898926 2389.336914 -4281.527344 2714.795166 -0.395627 -0.430357 -0.009029 -21282.777344 -0.150803 -0.127552 
-0.115432 13.904873 -0.137231  3.800000 -6919.160645 2240.980957 -4464.126465 2613.293701 -0.407137 -0.449091 -0.009985 -20510.224609 -0.137231 -0.140151 
-0.116619 13.897008 -0.136395  3.825000 -6950.236816 2090.350098 -4606.766602 2507.770020 -0.417504 -0.466534 -0.010895 -19668.531250 -0.136395 -0.152585 
